Date : 2026-05-29 10:45:10
Directory : c:\Users\ankit\Downloads\xace
Total : 230 files,  6941 codes, 490 comments, 1127 blanks, all 8558 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\determinism_guard\determinism_guard.rs                         | Rust       |         37 |          0 |          0 |         37 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\determinism_guard\mod.rs                                       | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\determinism_guard\replay_validator.rs                          | Rust       |          2 |          0 |          1 |          3 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\determinism_guard\rng_interceptor.rs                           | Rust       |          2 |          0 |          1 |          3 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\determinism_guard\tests\mod.rs                                 | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\determinism_guard\tests\test_determinism_guard.rs              | Rust       |         48 |          0 |          1 |         49 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\determinism_guard\world_hasher.rs                              | Rust       |          2 |          0 |          1 |          3 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\engine_bridge.rs                                               | Rust       |        227 |         37 |         31 |        295 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\engine_protocol.rs                                             | Rust       |        384 |         65 |         43 |        492 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\entity_store\entity_archive.rs                                 | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\entity_store\entity_id_generator.rs                            | Rust       |          7 |          0 |          1 |          8 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\entity_store\entity_store.rs                                   | Rust       |        -31 |          0 |          1 |        -30 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\entity_store\mod.rs                                            | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\entity_store\tests\mod.rs                                      | Rust       |          1 |          0 |          1 |          2 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\entity_store\tests\test_entity_store.rs                        | Rust       |         -5 |          0 |          1 |         -4 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\event_bus\event_bus.rs                                         | Rust       |         -3 |          0 |          1 |         -2 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\event_bus\event_dispatcher.rs                                  | Rust       |        -10 |          0 |          1 |         -9 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\event_bus\event_subscription_registry.rs                       | Rust       |         -7 |          0 |          1 |         -6 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\event_bus\mod.rs                                               | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\event_bus\tests\mod.rs                                         | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\event_bus\tests\test_event_bus.rs                              | Rust       |         -5 |          0 |          1 |         -4 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\lib.rs                                                         | Rust       |          3 |          1 |          2 |          6 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\mutation_gate\mod.rs                                           | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\mutation_gate\mutation_gate.rs                                 | Rust       |         37 |          0 |          1 |         38 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\mutation_gate\mutation_queue.rs                                | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\mutation_gate\mutation_validator.rs                            | Rust       |         -6 |          0 |          1 |         -5 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\mutation_gate\tests\mod.rs                                     | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\mutation_gate\tests\test_mutation_gate.rs                      | Rust       |         14 |          0 |          1 |         15 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\phase_orchestrator\mod.rs                                      | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\phase_orchestrator\parallel_executor.rs                        | Rust       |          9 |          0 |          0 |          9 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\phase_orchestrator\phase_orchestrator.rs                       | Rust       |         35 |          0 |          1 |         36 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\phase_orchestrator\system_context.rs                           | Rust       |         21 |          0 |          1 |         22 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\phase_orchestrator\system_registry.rs                          | Rust       |          1 |          0 |          1 |          2 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\phase_orchestrator\tests\mod.rs                                | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\phase_orchestrator\tests\test_phase_orchestrator.rs            | Rust       |         30 |          0 |          1 |         31 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\query_engine\mod.rs                                            | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\query_engine\query_cache.rs                                    | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\query_engine\query_engine.rs                                   | Rust       |          7 |          0 |          1 |          8 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\query_engine\sorted_merge_iterator.rs                          | Rust       |         20 |          0 |         -3 |         17 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\query_engine\tests\mod.rs                                      | Rust       |         -1 |          0 |          0 |         -1 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\query_engine\tests\test_query_engine.rs                        | Rust       |          5 |          0 |          1 |          6 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\query_engine\vectorized_query.rs                               | Rust       |          1 |          0 |         -2 |         -1 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\runtime_orchestrator.rs                                        | Rust       |         85 |        -12 |          9 |         82 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\snapshot_engine\mod.rs                                         | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\snapshot_engine\snapshot_engine.rs                             | Rust       |        -16 |          0 |          1 |        -15 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\snapshot_engine\snapshot_serializer.rs                         | Rust       |          4 |          0 |          1 |          5 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\snapshot_engine\snapshot_store.rs                              | Rust       |         -1 |          0 |          1 |          0 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\snapshot_engine\tests\mod.rs                                   | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\snapshot_engine\tests\test_snapshot_engine.rs                  | Rust       |          6 |          0 |          1 |          7 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\state_printer.rs                                               | Rust       |          4 |          1 |          1 |          6 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\tcp_server.rs                                                  | Rust       |         67 |         21 |         17 |        105 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\time_controller\deterministic_rng.rs                           | Rust       |          8 |          0 |          1 |          9 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\time_controller\mod.rs                                         | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\time_controller\tests\mod.rs                                   | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\time_controller\tests\test_time_controller.rs                  | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\time_controller\time_controller.rs                             | Rust       |         -1 |          2 |          2 |          3 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\tests\mod.rs                                                       | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\tests\test_archetype.rs                                            | Rust       |          2 |          0 |         -2 |          0 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\tests\test_d3_preservation.rs                                      | Rust       |         10 |          0 |         -7 |          3 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\tests\test_storage_router.rs                                       | Rust       |         15 |          0 |         -2 |         13 |
| c:\Users\ankit\Downloads\xace\packages\save-engine\src\lib.rs                                                          | Rust       |         24 |          6 |         10 |         40 |
| c:\Users\ankit\Downloads\xace\packages\save-engine\src\save_engine.rs                                                  | Rust       |        147 |          0 |         23 |        170 |
| c:\Users\ankit\Downloads\xace\packages\save-engine\src\save_serializer.rs                                              | Rust       |         28 |          0 |          7 |         35 |
| c:\Users\ankit\Downloads\xace\packages\save-engine\src\save_slot.rs                                                    | Rust       |         26 |          0 |          5 |         31 |
| c:\Users\ankit\Downloads\xace\packages\save-engine\tests\test_save_roundtrip.rs                                        | Rust       |         64 |          0 |         18 |         82 |
| c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\compilation_error.rs                                  | Rust       |         33 |          0 |          1 |         34 |
| c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\conflict_analyzer\conflict_analyzer.rs                | Rust       |         10 |          0 |          1 |         11 |
| c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\conflict_analyzer\serialization_group_builder.rs      | Rust       |         20 |          0 |          1 |         21 |
| c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\cycle_detection\cycle_detector.rs                     | Rust       |         28 |          0 |          1 |         29 |
| c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\cycle_detection\cycle_diagnostics.rs                  | Rust       |         58 |          0 |          1 |         59 |
| c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\dependency_resolution\dependency_resolution_engine.rs | Rust       |        107 |          0 |          1 |        108 |
| c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\dependency_resolution\topological_sorter.rs           | Rust       |         37 |          0 |          1 |         38 |
| c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\graph_construction\graph_construction_layer.rs        | Rust       |         68 |          0 |          1 |         69 |
| c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\graph_construction\hazard_detector.rs                 | Rust       |         41 |          0 |          1 |         42 |
| c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\graph_construction\mod.rs                             | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\graph_construction\system_edge.rs                     | Rust       |          5 |          0 |          1 |          6 |
| c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\graph_construction\system_node.rs                     | Rust       |         15 |          0 |          1 |         16 |
| c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\lib.rs                                                | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\main.rs                                               | Rust       |          4 |          0 |          1 |          5 |
| c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\parallelization\parallelization_safety_model.rs       | Rust       |         -4 |          0 |          1 |         -3 |
| c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\phase_segmentation\mod.rs                             | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\phase_segmentation\phase_segmentation_layer.rs        | Rust       |        135 |          0 |          1 |        136 |
| c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\phase_segmentation\phase_validator.rs                 | Rust       |          1 |          0 |          1 |          2 |
| c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\scheduler\deterministic_scheduler_builder.rs          | Rust       |          9 |          0 |          1 |         10 |
| c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\scheduler\parallel_group_analyzer.rs                  | Rust       |         21 |          0 |          2 |         23 |
| c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\sgc_pipeline.rs                                       | Rust       |         34 |          0 |          1 |         35 |
| c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\tests\mod.rs                                          | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\tests\test_conflict_analyzer.rs                       | Rust       |         22 |          0 |          1 |         23 |
| c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\tests\test_cycle_detection.rs                         | Rust       |        156 |          0 |          1 |        157 |
| c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\tests\test_dependency_resolution.rs                   | Rust       |         33 |          0 |          1 |         34 |
| c:\Users\ankit\Downloads\xace\packages\system-graph-compiler\src\tests\test_graph_construction.rs                      | Rust       |         68 |          0 |          1 |         69 |
| c:\Users\ankit\Downloads\xace\test_m2_handshake.py                                                                     | Python     |        136 |         19 |         25 |        180 |
| Total                                                                                                                  |            |      6,941 |        490 |      1,127 |      8,558 |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
